cod_local; endereco_formatado; lat; lng
07551; AV. ARICANDUVA, 12011, Sao Paulo, SP ; -23.592422; -46.472395 
07552; AV. SALIM FARAH MALUF, 0, Sao Paulo, SP ; -23.5307429; -46.5843061 
07553; AV. ALCANTARA MACHADO, 1, Sao Paulo, SP ; -23.5513133; -46.6249218 
07554; AV. ALCANTARA MACHADO, 4, Sao Paulo, SP ; -23.5519584; -46.624942 
07555; AV. ALCANTARA MACHADO, 1, Sao Paulo, SP ; -23.5513133; -46.6249218 
07556; AV. ALCANTARA MACHADO, 4, Sao Paulo, SP ; -23.5519584; -46.624942 
07557; AV. REBOUCAS, 2380, Sao Paulo, SP ; -23.5669276; -46.683167 
07558; AV. REBOUCAS, 2380, Sao Paulo, SP ; -23.5669276; -46.683167 
07559; AV. REBOUCAS, 2380, Sao Paulo, SP ; -23.5669276; -46.683167 
07560; AV. REBOUCAS, 2380, Sao Paulo, SP ; -23.5669276; -46.683167 
07561; AV. JOSE PINHEIRO BORGES, 0, Sao Paulo, SP ; -23.5379455; -46.4560852 
07562; AV. JOSE PINHEIRO BORGES, 0, Sao Paulo, SP ; -23.5379455; -46.4560852 
07563; AV. CALIM EID, 0, Sao Paulo, SP ; -23.52567; -46.491469 
07564; AV. CALIM EID, 0, Sao Paulo, SP ; -23.52567; -46.491469 
07565; AV. ALCANTARA MACHADO, 1, Sao Paulo, SP ; -23.5513133; -46.6249218 
07566; AV. ALCANTARA MACHADO, 4, Sao Paulo, SP ; -23.5519584; -46.624942 
07569; AV. CONDE DE FRONTIN, 1, Sao Paulo, SP ; -23.5368669; -46.55827 
07570; AV. CONDE DE FRONTIN, 4, Sao Paulo, SP ; -23.5370272; -46.5582094 
07571; AV. CONDE DE FRONTIN, 1, Sao Paulo, SP ; -23.5368669; -46.55827 
07572; AV. CONDE DE FRONTIN, 4, Sao Paulo, SP ; -23.5370272; -46.5582094 
07573; AV. PAES DE BARROS, 3420, Sao Paulo, SP ; -23.5808575; -46.5867991 
07574; AV. PAES DE BARROS, 3420, Sao Paulo, SP ; -23.5808575; -46.5867991 
07575; AV PAES DE BARROS, 0, Sao Paulo, SP ; -23.5555204; -46.6001961 
07576; AV PAES DE BARROS, 2, Sao Paulo, SP ; -23.5555204; -46.6001961 
07577; AV PAES DE BARROS, 0, Sao Paulo, SP ; -23.5555204; -46.6001961 
07578; AV JOSE PINHEIRO BORGES, 0, Sao Paulo, SP ; -23.5379455; -46.4560852 
07580; RUA MELO FREIRE, 0, Sao Paulo, SP ; -23.5391715; -46.5695321 
07581; AV ALCANTARA MACHADO, 2263, Sao Paulo, SP ; -23.5462533; -46.5989788 
07582; AV ALCANTARA MACHADO, 0, Sao Paulo, SP ; -23.5519625; -46.6249602 
07583; AV ALCANTARA MACHADO, 4, Sao Paulo, SP ; -23.5519584; -46.624942 
07584; AV ARICANDUVA, 0, Sao Paulo, SP ; -23.5379234; -46.5459813 
07585; AV ARICANDUVA, 0, Sao Paulo, SP ; -23.5379234; -46.5459813 
07586; AV SAO MIGUEL, 0, Sao Paulo, SP ; -23.5222343; -46.5260655 
07587; AV SAO MIGUEL, 0, Sao Paulo, SP ; -23.5222343; -46.5260655 
07588; AV CRUZEIRO DO SUL, 400, Sao Paulo, SP ; -23.5283624; -46.6252591 
07589; AV CRUZEIRO DO SUL, 400, Sao Paulo, SP ; -23.5283624; -46.6252591 
07590; AV JACU PESSEGO/N. TRABALHADORES, 0, Sao Paulo, SP ; -23.532413; -46.4556764 
07591; AV JACU PESSEGO/N. TRABALHADORES, 0, Sao Paulo, SP ; -23.532413; -46.4556764 
07592; AV ITAQUERA, 0, Sao Paulo, SP ; -23.5583426; -46.5214865 
07593; AV. ARICANDUVA, 12011, Sao Paulo, SP ; -23.592422; -46.472395 
