Id Placa;AIT;Data_infracao;Hora_infracao;Cod_enq;Descricao_enq;Cod_local;Descricao_local;Cod_equip;Cod_serie_equip
504;XVA16921261;19/12/2013;01:08:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;6016;AV. FRANCISCO DE PAULA Q. RIBEIRO - FRENTE AO NUM. 280 - SENT. BAIRRO/CENTRO;5533;9902008-BC 
512;RVA44689637;02/01/2014;16:32:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;7570;AV. CONDE DE FRONTIN, ANTES DA R.PINHALZINHO (CENTRO/BAIRRO) - FX 4 E 5;6676;9904048-FX4 
540;FVA14022288;05/10/2013;15:17:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;6533;AV. CELSO GARCIA, ALT. DO N. 4911 -SENTIDO BAIRRO/CENTRO;6037;0436-BC 
562;UVA19827933;29/10/2013;22:44:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4202;AV. ARICANDUVA, PROXIMO A RUA DR. MARIANO C. DE MOURA, SENTIDO CENTRO/BAIRRO;5106;404005
562;UVA22026458;28/12/2013;09:27:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4201;AV. ALCANTARA MACHADO, PROXIMO A RUA SIQUEIRA BUENO, SENTIDO CENTRO/BAIRRO;5105;404102
563;UVA23170986;26/01/2014;15:13:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4214;AV NACOES UNIDAS (LOCAL) SOB PONTE CIDADE JARDIM, SENTIDO INTERLAGOS/C. BRANCO;5114;500004
570;BVA10777971;26/01/2014;20:01:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;1631;R. TEODORO SAMPAIO, N. 1316 -SENTIDO BAIRRO/CENTRO;3335;358-FX1 
570;UVA22172810;30/12/2013;22:42:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4214;AV NACOES UNIDAS (LOCAL) SOB PONTE CIDADE JARDIM, SENTIDO INTERLAGOS/C. BRANCO;5114;500004
570;UVA19845281;30/10/2013;12:26:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4214;AV NACOES UNIDAS (LOCAL) SOB PONTE CIDADE JARDIM, SENTIDO INTERLAGOS/C. BRANCO;5114;500004
570;BRA19891566;29/11/2013;17:34:00;57462;TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA REGULAMENTACAO - RODIZIO;1631;R. TEODORO SAMPAIO, N. 1316 -SENTIDO BAIRRO/CENTRO;3336;358-FX2 
570;UVA22548080;07/01/2014;22:55:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4214;AV NACOES UNIDAS (LOCAL) SOB PONTE CIDADE JARDIM, SENTIDO INTERLAGOS/C. BRANCO;5114;500004
